"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	21	259074	8.106	5.018	12.391	1.769	7.595	4.702	11.610	1.669
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	63	259074	24.317	18.686	31.112	3.064	21.747	16.673	27.878	2.763
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	15	259074	Unreliable	3.241	9.549	1.495	Unreliable	3.124	9.206	1.454
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	97	259074	37.441	30.362	45.675	3.802	34.911	28.245	42.677	3.577
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	10	259074	Unreliable	1.851	7.099	1.221	Unreliable	1.595	6.117	1.057
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malnutrition (E40-E46)"	"GR113-048"	10	259074	Unreliable	1.851	7.099	1.221	Unreliable	1.595	6.117	1.057
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Parkinson disease (G20-G21)"	"GR113-051"	12	259074	Unreliable	2.393	8.091	1.337	Unreliable	2.227	7.529	1.251
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Alzheimer disease (G30)"	"GR113-052"	123	259074	47.477	39.086	55.867	4.281	41.853	34.420	49.286	3.792
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	813	259074	313.810	292.239	335.381	11.006	286.898	267.011	306.785	10.146
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	549	259074	211.909	194.182	229.635	9.044	192.429	176.190	208.668	8.285
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Hypertensive heart disease (I11)"	"GR113-056"	91	259074	35.125	28.281	43.126	3.682	32.025	25.718	39.409	3.393
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	14	259074	Unreliable	2.954	9.067	1.444	Unreliable	2.671	8.198	1.325
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	252	259074	97.270	85.260	109.279	6.127	88.431	77.435	99.426	5.610
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	65	259074	25.089	19.363	31.978	3.112	22.746	17.517	29.047	2.839
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	185	259074	71.408	61.118	81.698	5.250	64.882	55.464	74.300	4.805
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	76	259074	29.335	23.113	36.717	3.365	26.647	20.959	33.402	3.077
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	109	259074	42.073	34.174	49.971	4.030	38.234	31.001	45.466	3.690
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other heart diseases (I26-I51)"	"GR113-064"	184	259074	71.022	60.760	81.284	5.236	64.391	54.997	73.785	4.793
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Heart failure (I50)"	"GR113-067"	48	259074	18.528	13.661	24.565	2.674	16.437	12.119	21.792	2.384
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	133	259074	51.337	42.612	60.062	4.451	46.902	38.841	54.962	4.113
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	46	259074	17.756	12.999	23.683	2.618	16.572	12.088	22.175	2.466
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	180	259074	69.478	59.328	79.628	5.179	64.500	55.009	73.992	4.843
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Atherosclerosis (I70)"	"GR113-071"	15	259074	Unreliable	3.241	9.549	1.495	Unreliable	2.847	8.390	1.321
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	23	259074	8.878	5.628	13.321	1.851	8.309	5.267	12.468	1.740
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	16	259074	Unreliable	3.530	10.029	1.544	Unreliable	3.328	9.455	1.461
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	42	259074	16.212	11.684	21.913	2.502	15.207	10.913	20.630	2.374
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Pneumonia (J12-J18)"	"GR113-078"	37	259074	14.282	10.056	19.685	2.348	13.471	9.435	18.649	2.237
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	108	259074	41.687	33.825	49.549	4.011	37.899	30.686	45.111	3.680
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Emphysema (J43)"	"GR113-084"	10	259074	Unreliable	1.851	7.099	1.221	Unreliable	1.712	6.564	1.140
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	90	259074	34.739	27.934	42.700	3.662	31.181	25.040	38.370	3.313
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	20	259074	7.720	4.715	11.923	1.726	7.539	4.605	11.643	1.705
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	33	259074	12.738	8.768	17.888	2.217	11.724	8.019	16.551	2.060
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	36	259074	13.896	9.732	19.237	2.316	12.847	8.948	17.867	2.176
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Alcoholic liver disease (K70)"	"GR113-094"	30	259074	11.580	7.813	16.531	2.114	10.971	7.347	15.756	2.035
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	49	259074	18.914	13.992	25.005	2.702	16.951	12.498	22.475	2.444
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Renal failure (N17-N19)"	"GR113-100"	49	259074	18.914	13.992	25.005	2.702	16.951	12.498	22.475	2.444
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	30	259074	11.580	7.813	16.531	2.114	10.583	7.087	15.198	1.963
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"All other diseases (Residual) "	"GR113-111"	335	259074	129.307	115.460	143.154	7.065	119.012	106.135	131.890	6.570
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	114	259074	44.003	35.925	52.081	4.121	42.972	34.935	51.009	4.101
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	23	259074	8.878	5.628	13.321	1.851	8.851	5.547	13.400	1.874
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	19	259074	Unreliable	4.415	11.453	1.682	Unreliable	4.158	10.785	1.600
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	91	259074	35.125	28.281	43.126	3.682	34.120	27.366	42.037	3.647
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Falls (W00-W19)"	"GR113-118"	27	259074	10.422	6.868	15.163	2.006	9.300	6.129	13.531	1.802
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	47	259074	18.142	13.330	24.124	2.646	18.422	13.437	24.650	2.746
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	15	259074	Unreliable	3.241	9.549	1.495	Unreliable	3.053	9.368	1.468
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	16	259074	Unreliable	3.530	10.029	1.544	Unreliable	3.532	10.033	1.555
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	12	259074	Unreliable	2.393	8.091	1.337	Unreliable	2.396	8.101	1.351
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	18	259074	Unreliable	4.118	10.981	1.638	Unreliable	4.219	11.252	1.690
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	11	259074	Unreliable	2.120	7.597	1.280	Unreliable	2.107	7.554	1.282
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	61	1539590	3.962	3.031	5.089	0.507	3.021	2.282	3.923	0.404
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Septicemia (A40-A41)"	"GR113-010"	190	1539590	12.341	10.586	14.096	0.895	10.361	8.836	11.887	0.778
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Viral hepatitis (B15-B19)"	"GR113-015"	28	1539590	1.819	1.208	2.628	0.344	1.842	1.203	2.699	0.359
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	38	1539590	2.468	1.747	3.388	0.400	2.098	1.462	2.918	0.354
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2937	1539590	190.765	183.866	197.664	3.520	168.956	162.663	175.249	3.211
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	33	1539590	2.143	1.475	3.010	0.373	1.863	1.266	2.645	0.336
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	25	1539590	1.624	1.051	2.397	0.325	1.460	0.935	2.172	0.301
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	35	1539590	2.273	1.583	3.162	0.384	1.943	1.337	2.729	0.340
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	257	1539590	16.693	14.652	18.734	1.041	14.214	12.414	16.014	0.918
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	74	1539590	4.806	3.774	6.034	0.559	4.274	3.332	5.400	0.512
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	206	1539590	13.380	11.553	15.207	0.932	11.807	10.148	13.467	0.847
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	672	1539590	43.648	40.348	46.948	1.684	39.063	36.036	42.090	1.544
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant melanoma of skin (C43)"	"GR113-028"	34	1539590	2.208	1.529	3.086	0.379	1.857	1.262	2.636	0.332
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of breast (C50)"	"GR113-029"	469	1539590	30.463	27.706	33.220	1.407	26.815	24.306	29.325	1.280
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	35	1539590	2.273	1.583	3.162	0.384	2.240	1.542	3.145	0.387
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	94	1539590	6.106	4.934	7.472	0.630	5.656	4.548	6.953	0.596
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	170	1539590	11.042	9.382	12.702	0.847	10.232	8.658	11.805	0.803
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	39	1539590	2.533	1.801	3.463	0.406	2.134	1.503	2.942	0.352
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	58	1539590	3.767	2.861	4.870	0.495	3.178	2.387	4.146	0.433
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	79	1539590	5.131	4.062	6.395	0.577	4.770	3.758	5.970	0.548
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	279	1539590	18.122	15.995	20.248	1.085	15.845	13.921	17.770	0.982
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	98	1539590	6.365	5.168	7.757	0.643	5.403	4.350	6.634	0.567
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Leukemia (C91-C95)"	"GR113-040"	113	1539590	7.340	5.986	8.693	0.690	6.568	5.314	7.821	0.640
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	61	1539590	3.962	3.031	5.089	0.507	3.474	2.631	4.501	0.459
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	369	1539590	23.967	21.522	26.413	1.248	21.133	18.911	23.356	1.134
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	83	1539590	5.391	4.294	6.683	0.592	4.398	3.471	5.496	0.503
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Anemias (D50-D64)"	"GR113-045"	24	1539590	1.559	0.999	2.319	0.318	1.209	0.758	1.831	0.257
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	227	1539590	14.744	12.826	16.662	0.979	12.696	10.985	14.408	0.873
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	53	1539590	3.442	2.579	4.503	0.473	2.425	1.794	3.206	0.347
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Malnutrition (E40-E46)"	"GR113-048"	49	1539590	3.183	2.355	4.208	0.455	2.255	1.645	3.017	0.336
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Parkinson disease (G20-G21)"	"GR113-051"	131	1539590	8.509	7.052	9.966	0.743	6.583	5.408	7.758	0.600
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Alzheimer disease (G30)"	"GR113-052"	1040	1539590	67.550	63.445	71.656	2.095	46.130	43.222	49.039	1.484
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	3924	1539590	254.873	246.898	262.848	4.069	192.895	186.604	199.187	3.210
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2796	1539590	181.607	174.875	188.338	3.434	138.227	132.886	143.568	2.725
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	35	1539590	2.273	1.583	3.162	0.384	1.832	1.253	2.586	0.322
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease (I11)"	"GR113-056"	225	1539590	14.614	12.705	16.524	0.974	11.821	10.214	13.428	0.820
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	33	1539590	2.143	1.475	3.010	0.373	1.571	1.060	2.243	0.285
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1372	1539590	89.115	84.399	93.830	2.406	68.685	64.902	72.468	1.930
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	338	1539590	21.954	19.613	24.294	1.194	16.959	15.074	18.843	0.962
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	10	1539590	Unreliable	0.311	1.194	0.205	Unreliable	0.243	1.008	0.175
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	1024	1539590	66.511	62.437	70.585	2.078	51.170	47.909	54.431	1.664
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	338	1539590	21.954	19.613	24.294	1.194	18.369	16.347	20.390	1.031
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	686	1539590	44.557	41.223	47.892	1.701	32.818	30.258	35.378	1.306
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Other heart diseases (I26-I51)"	"GR113-064"	1131	1539590	73.461	69.180	77.742	2.184	54.317	51.012	57.621	1.686
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Heart failure (I50)"	"GR113-067"	367	1539590	23.838	21.399	26.276	1.244	16.902	15.100	18.703	0.919
