"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Small Metro"	"4"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	34	271146	12.539	8.684	17.523	2.150	12.599	8.561	17.884	2.273
	"Alabama"	"01"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	423	1146161	36.906	33.389	40.423	1.794	37.008	33.368	40.648	1.857
	"Alabama"	"01"	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	51	491768	10.371	7.722	13.636	1.452	10.815	7.918	14.426	1.592
	"Alabama"	"01"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	118594	Unreliable	8.350	22.951	3.477	Unreliable	7.883	22.397	3.447
	"Alabama"	"01"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	223	463857	48.075	41.765	54.385	3.219	47.916	41.374	54.457	3.338
	"Alabama"	"01"	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	49	535365	9.153	6.771	12.100	1.308	9.333	6.754	12.572	1.430
	"Alabama"	"01"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	20	189511	10.553	6.446	16.299	2.360	10.032	6.040	15.666	2.284
	"Alabama"	"01"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	217	509610	42.582	36.916	48.247	2.891	43.933	37.796	50.070	3.131
	"Alaska"	"02"	"Medium Metro"	"3"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	17	41118	Unreliable	24.085	66.197	10.027	Unreliable	19.582	53.822	8.189
	"Alaska"	"02"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	37	313970	11.785	8.297	16.243	1.937	11.386	7.931	15.836	1.929
	"Alaska"	"02"	"Medium Metro"	"3"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	28	36970	75.737	50.327	109.461	14.313	77.499	49.128	116.287	16.302
	"Alaska"	"02"	"Medium Metro"	"3"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	14	41964	Unreliable	18.239	55.976	8.916	Unreliable	15.771	50.649	8.226
	"Alaska"	"02"	"Medium Metro"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	27456	Unreliable	20.000	71.686	12.080	Unreliable	15.240	58.447	9.938
	"Alaska"	"02"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	154	346972	44.384	37.374	51.394	3.577	45.987	38.463	53.511	3.839
	"Alaska"	"02"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	37	98656	37.504	26.406	51.694	6.166	37.679	26.245	52.402	6.406
	"Alaska"	"02"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	20	41867	47.770	29.180	73.777	10.682	50.648	30.017	80.046	12.048
	"Alaska"	"02"	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	26	69968	37.160	24.274	54.448	7.288	33.211	21.493	49.026	6.697
	"Alaska"	"02"	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	17	112709	Unreliable	8.787	24.150	3.658	Unreliable	8.373	24.674	3.804
	"Alaska"	"02"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	98	76509	128.090	103.989	156.100	12.939	111.902	90.319	137.088	11.619
	"Alaska"	"02"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	57	137970	41.313	31.290	53.526	5.472	42.954	31.983	56.477	6.030
	"Arizona"	"04"	"Large Central Metro"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	14	93898	Unreliable	8.151	25.016	3.985	Unreliable	6.787	20.828	3.363
	"Arizona"	"04"	"Large Central Metro"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	17	245275	Unreliable	4.038	11.097	1.681	Unreliable	3.947	11.213	1.710
	"Arizona"	"04"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	65	1280802	5.075	3.917	6.468	0.629	4.565	3.508	5.840	0.577
	"Arizona"	"04"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	383	3153203	12.146	10.930	13.363	0.621	12.011	10.737	13.285	0.650
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	14	55615	Unreliable	13.762	42.236	6.728	Unreliable	9.775	31.394	5.036
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	21	79961	26.263	16.257	40.146	5.731	21.956	13.411	33.909	4.929
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	30	219375	13.675	9.227	19.522	2.497	13.376	8.958	19.210	2.494
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	57	281138	20.275	15.356	26.268	2.685	19.111	14.042	25.413	2.777
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	220	1269845	17.325	15.036	19.614	1.168	17.364	14.741	19.986	1.338
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1155	3005605	38.428	36.212	40.644	1.131	37.481	35.236	39.726	1.145
	"Arizona"	"04"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	32	306741	10.432	7.136	14.727	1.844	11.637	7.602	17.051	2.301
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	21	133840	15.690	9.713	23.984	3.424	15.427	9.424	23.827	3.442
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	127	311256	40.802	33.706	47.899	3.621	40.552	32.858	48.245	3.925
	"Arizona"	"04"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	19	396103	Unreliable	2.888	7.491	1.100	Unreliable	2.788	7.434	1.100
	"Arizona"	"04"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	113	732597	15.425	12.581	18.269	1.451	15.652	12.426	18.879	1.646
	"Arizona"	"04"	"Medium Metro"	"3"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	14	28647	Unreliable	26.718	81.997	13.061	Unreliable	23.128	74.277	11.921
	"Arizona"	"04"	"Medium Metro"	"3"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	10	39254	Unreliable	12.216	46.850	8.056	Unreliable	11.504	47.758	8.343
	"Arizona"	"04"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	76	368392	20.630	16.254	25.822	2.366	19.653	15.320	24.830	2.355
	"Arizona"	"04"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	328	700226	46.842	41.773	51.911	2.586	45.389	40.039	50.740	2.730
	"Arizona"	"04"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Small Metro"	"4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	13	58868	Unreliable	11.758	37.763	6.125	Unreliable	10.586	33.997	5.623
	"Arizona"	"04"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	12	265518	Unreliable	2.335	7.895	1.305	Unreliable	2.544	8.600	1.439
	"Arizona"	"04"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	119	743958	15.996	13.122	18.869	1.466	17.214	13.619	20.809	1.834
	"Arizona"	"04"	"Small Metro"	"4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	26	53746	48.376	31.600	70.882	9.487	47.044	30.142	69.997	9.554
	"Arizona"	"04"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	46	271851	16.921	12.388	22.570	2.495	16.946	12.264	22.826	2.589
	"Arizona"	"04"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	477	737625	64.667	58.864	70.470	2.961	60.309	54.075	66.543	3.181
	"Arizona"	"04"	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	16	71121	Unreliable	12.859	36.534	5.624	Unreliable	12.852	37.875	5.858
	"Arizona"	"04"	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	24	134032	17.906	11.473	26.643	3.655	20.612	12.410	32.188	4.736
	"Arizona"	"04"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	40	65428	61.136	43.676	83.250	9.666	57.927	40.992	79.509	9.408
	"Arizona"	"04"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	19	77369	Unreliable	14.785	38.350	5.634	Unreliable	14.970	39.921	5.924
	"Arizona"	"04"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	94	135166	69.544	56.199	85.105	7.173	71.273	56.155	89.209	8.188
	"Arizona"	"04"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	42	60993	68.860	49.628	93.079	10.625	70.410	50.301	95.878	11.160
	"Arizona"	"04"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	30	40078	74.854	50.504	106.859	13.666	69.537	43.045	106.295	15.253
	"Arkansas"	"05"	"Medium Metro"	"3"	"Female"	"F"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	10	245411	Unreliable	1.954	7.494	1.289	Unreliable	1.926	7.385	1.287
	"Arkansas"	"05"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	167	1304361	12.803	10.861	14.745	0.991	12.867	10.864	14.870	1.022
	"Arkansas"	"05"	"Medium Metro"	"3"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	15	49870	Unreliable	16.834	49.609	7.766	Unreliable	14.183	43.527	6.929
	"Arkansas"	"05"	"Medium Metro"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	29	206964	14.012	9.384	20.124	2.602	14.596	9.534	21.386	2.890
	"Arkansas"	"05"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	13	138767	Unreliable	4.988	16.020	2.598	Unreliable	3.921	16.279	2.787
	"Arkansas"	"05"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	533	1227389	43.426	39.739	47.112	1.881	44.027	40.216	47.837	1.944
	"Arkansas"	"05"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	55	346609	15.868	11.954	20.654	2.140	17.039	12.647	22.464	2.404
	"Arkansas"	"05"	"Small Metro"	"4"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	95415	Unreliable	10.379	28.527	4.321	Unreliable	10.007	28.429	4.383
	"Arkansas"	"05"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	158	328309	48.125	40.621	55.630	3.829	47.294	39.621	54.967	3.915
	"Arkansas"	"05"	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	62	563190	11.009	8.440	14.113	1.398	12.101	9.141	15.715	1.613
	"Arkansas"	"05"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	16	100131	Unreliable	9.133	25.949	3.995	Unreliable	9.623	28.358	4.446
	"Arkansas"	"05"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	256	536836	47.687	41.845	53.528	2.980	47.704	41.629	53.779	3.099
	"Arkansas"	"05"	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	94	577744	16.270	13.148	19.911	1.678	17.833	14.183	22.136	1.965
	"Arkansas"	"05"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	10	80633	Unreliable	5.947	22.808	3.922	Unreliable	6.027	23.112	4.065
	"Arkansas"	"05"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	253	553613	45.700	40.068	51.331	2.873	47.598	41.385	53.810	3.170
	"California"	"06"	"Large Central Metro"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	275	6261145	4.392	3.873	4.911	0.265	4.492	3.950	5.035	0.277
	"California"	"06"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	66	2176468	3.032	2.345	3.858	0.373	3.025	2.325	3.871	0.380
	"California"	"06"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	261	10085083	2.588	2.274	2.902	0.160	2.516	2.207	2.826	0.158
	"California"	"06"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1079	11511151	9.374	8.814	9.933	0.285	8.983	8.414	9.552	0.290
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	26	112732	23.064	15.066	33.793	4.523	24.054	15.412	35.791	4.864
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	635	5508387	11.528	10.631	12.425	0.457	11.503	10.596	12.409	0.462
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	17	260157	Unreliable	3.807	10.462	1.585	Unreliable	2.952	8.388	1.303
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	294	2039019	14.419	12.771	16.067	0.841	14.518	12.819	16.218	0.867
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	1153	9968039	11.567	10.899	12.235	0.341	11.505	10.801	12.210	0.360
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	3456	11598704	29.796	28.803	30.790	0.507	28.143	27.168	29.118	0.497
	"California"	"06"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Large Fringe Metro"	"2"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	39	943887	4.132	2.938	5.648	0.662	4.214	2.982	5.785	0.685
	"California"	"06"	"Large Fringe Metro"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	13	421828	Unreliable	1.641	5.270	0.855	Unreliable	1.688	5.708	0.926
	"California"	"06"	"Large Fringe Metro"	"2"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	55	1848238	2.976	2.242	3.873	0.401	2.847	2.138	3.714	0.389
	"California"	"06"	"Large Fringe Metro"	"2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	267	2902819	9.198	8.095	10.301	0.563	8.847	7.702	9.991	0.584
	"California"	"06"	"Large Fringe Metro"	"2"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	85	808108	10.518	8.402	13.006	1.141	10.832	8.640	13.411	1.185
	"California"	"06"	"Large Fringe Metro"	"2"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	50	394292	12.681	9.412	16.718	1.793	12.404	9.145	16.445	1.788
	"California"	"06"	"Large Fringe Metro"	"2"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	253	1841770	13.737	12.044	15.429	0.864	14.069	12.210	15.929	0.949
	"California"	"06"	"Large Fringe Metro"	"2"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	884	2808051	31.481	29.406	33.556	1.059	30.995	28.842	33.147	1.098
	"California"	"06"	"Medium Metro"	"3"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	31	773629	4.007	2.723	5.688	0.720	4.047	2.731	5.778	0.738
	"California"	"06"	"Medium Metro"	"3"	"Female"	"F"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	12	352669	Unreliable	1.758	5.944	0.982	Unreliable	1.908	6.840	1.134
	"California"	"06"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	92	3053146	3.013	2.429	3.696	0.314	2.852	2.284	3.518	0.306
	"California"	"06"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	459	3873263	11.850	10.766	12.935	0.553	11.543	10.399	12.688	0.584
	"California"	"06"	"Medium Metro"	"3"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	20	53875	37.123	22.676	57.333	8.301	38.034	22.899	59.395	8.740
	"California"	"06"	"Medium Metro"	"3"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	100	684345	14.613	11.748	17.477	1.461	14.891	11.914	17.868	1.519
	"California"	"06"	"Medium Metro"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	56	397148	14.101	10.651	18.311	1.884	15.068	11.253	19.759	2.089
	"California"	"06"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	467	3191974	14.630	13.303	15.957	0.677	14.306	12.925	15.686	0.704
	"California"	"06"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1279	3697300	34.593	32.697	36.489	0.967	33.296	31.367	35.226	0.984
	"California"	"06"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	21	463569	4.530	2.804	6.925	0.989	4.480	2.737	6.919	1.000
	"California"	"06"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	83	792584	10.472	8.341	12.982	1.149	10.175	7.932	12.856	1.218
	"California"	"06"	"Small Metro"	"4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	12	20189	Unreliable	30.712	103.827	17.158	Unreliable	30.275	108.513	17.963
	"California"	"06"	"Small Metro"	"4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	19	77414	Unreliable	14.777	38.327	5.631	Unreliable	12.736	33.033	4.911
	"California"	"06"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	63	484264	13.009	9.997	16.645	1.639	12.638	9.572	16.374	1.680
	"California"	"06"	"Small Metro"	"4"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	338	766376	44.104	39.402	48.806	2.399	42.481	37.696	47.267	2.442
	"California"	"06"	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	75	555900	13.492	10.612	16.912	1.558	13.022	9.961	16.728	1.673
	"California"	"06"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	17	23606	Unreliable	41.952	115.304	17.466	Unreliable	38.474	109.308	16.737
	"California"	"06"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	15	97655	Unreliable	8.597	25.334	3.966	Unreliable	7.692	23.608	3.711
	"California"	"06"	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	269	546396	49.232	43.348	55.115	3.002	48.080	41.905	54.255	3.151
	"California"	"06"	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	29	257594	11.258	7.540	16.168	2.091	9.577	5.928	14.639	2.086
	"California"	"06"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	10	57352	Unreliable	8.361	32.066	5.514	Unreliable	8.296	31.817	5.535
	"California"	"06"	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	155	259426	59.747	50.341	69.153	4.799	58.783	48.335	69.230	5.330
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	13	203747	Unreliable	3.397	10.911	1.770	Unreliable	3.000	9.633	1.588
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	53	505899	10.476	7.848	13.703	1.439	10.941	8.010	14.593	1.611
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	23	80635	28.524	18.081	42.799	5.948	28.553	17.894	43.229	6.059
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	53	211257	25.088	18.793	32.816	3.446	25.372	18.286	34.295	3.902
